booth_id,booth_name,address,city,country,latitude,longitude,severity,problem_categories
"115bb1fd-2aab-403e-a72f-ba382225fae3","Foto Arsenal Wien","[NO ADDRESS]","Vienna","Austria",48.1841083,16.3917738,"CRITICAL","MISSING_ADDRESS"
"e5a5c21c-a027-4a0b-b453-29facb2971df","Mutiny Information Cafe","[NO ADDRESS]","Denver","USA",39.6534477,-104.987856,"CRITICAL","MISSING_ADDRESS"
"72c4c56c-6776-40f2-8d70-b3c64955e4ea","Manhattan Mall","Sixth Avenue and 33rd Street","New York","United States",,,"CRITICAL","MISSING_COORDINATES"
"8f82379e-f76b-4998-94aa-b714e9ff4a3a","Sainsbury's","51 Townmead Road","Fulham, London","United States",,,"CRITICAL","MISSING_COORDINATES"
"8491b77f-4d23-4584-9aa2-08c70d8d5311","Bonanza Bus Station","1 Bonanza Way","Providence","United States",,,"CRITICAL","MISSING_COORDINATES"
"43f24f68-5d8f-48a9-bbc1-1ddfc5183b2e","Eastview Mall","7979 Rt. 96","Victor","United States",,,"CRITICAL","MISSING_COORDINATES"
"3c480f52-fe70-48da-acf0-3fbb01927c20","Lucky Strike","5555 St. Louis Mills Boulevard","Hazelwood","United States",,,"CRITICAL","MISSING_COORDINATES"
"2e35142f-9dfc-403e-a5ef-d6658697d086","Bloor-Yonge Station","Bloor St. W and Yonge St.","Toronto","United States",,,"CRITICAL","NO_STREET_NUMBER; MISSING_COORDINATES"
"31d4715e-b4de-407f-8ee7-4d53f1aff2c1","Union Station","65 Front St. W.","Toronto","United States",,,"CRITICAL","MISSING_COORDINATES"
"08b38203-10a0-47ba-bc31-170dfc117920","Toronto Eaton Centre I","250 Yonge Street","Toronto","United States",,,"CRITICAL","MISSING_COORDINATES"
"528ba5db-af9e-455f-88c5-f6b93dfdec5a","Toronto Eaton Centre II","250 Yonge Street","Toronto","United States",,,"CRITICAL","MISSING_COORDINATES"
"7712b2ff-e9da-450e-a40e-b70e557fc5b4","Bay Centre I","1150 Douglas Street","Victoria","United States",,,"CRITICAL","MISSING_COORDINATES"
"aec3a91f-fcae-40b1-b25d-925db04bf4d1","Bay Centre II","1150 Douglas Street","Victoria","United States",,,"CRITICAL","MISSING_COORDINATES"
"5394a019-8274-4ee7-81da-d0676c96efe3","Pacific Central Station","1150 Station Street","Vancouver","United States",,,"CRITICAL","MISSING_COORDINATES"
"ec7351ea-e4d5-4cae-a123-c974c35dae5f","Pacific Centre","609 Granville Street","Vancouver","United States",,,"CRITICAL","MISSING_COORDINATES"
"2ac682db-c9ba-4bc7-8685-92a9ad34ee21","Riga International Airport","[NO ADDRESS]","Riga","United States",,,"CRITICAL","MISSING_ADDRESS; MISSING_COORDINATES"
"274f6cc3-f6f2-4ba0-a940-6b9a5cd767fc","Coquitlam Centre","2929 Barnet Highway","Coquitlam","United States",,,"CRITICAL","MISSING_COORDINATES"
"85d06028-9be8-4d19-b325-388a55a1555f","Kastanienallee II","Kastanienallee 100","Berlin","United States",,,"CRITICAL","MISSING_COORDINATES"
